company,latest_exit_date,deal_type,hq_location
Gelesis Holdings (PINX: GLSHQ),13-Jan-2022,Reverse Merger,"""Boston, MA"""
Gemini Space Station (NAS: GEMI),12-Sep-2025,IPO,"""New York, NY"""
GeneDx Holding (NAS: WGS),22-Jul-2021,Reverse Merger,"""Stamford, CT"""
Genelux (NAS: GNLX),26-Jan-2023,IPO,"""Westlake Village, CA"""
Genenta Science (NAS: GNTA),17-Dec-2021,IPO,"""Milan, Italy"""
Genetico (MISX: GECO),26-Apr-2023,IPO,"""Moscow, Russia"""
GenFlow Biosciences (LON: GENF),17-Jan-2022,IPO,"""London, United Kingdom"""
GENinCode (LON: GENI),22-Jul-2021,IPO,"""Oxford, United Kingdom"""
Genomtec (WAR: GMT),17-Mar-2021,IPO,"""Wroclaw, Poland"""
Getaround (PINX: GETR),09-Dec-2022,Reverse Merger,"""San Francisco, CA"""
GH Research (NAS: GHRS),25-Jun-2021,IPO,"""Dublin, Ireland"""
Ginkgo Bioworks (NYS: DNA),16-Sep-2021,Reverse Merger,"""Boston, MA"""
GitLab (NAS: GTLB),14-Oct-2021,IPO,"""San Francisco, CA"""
Glass House Group (NEOE: GLAS.A.U),29-Jun-2021,Reverse Merger,"""Long Beach, CA"""
Gloo Holdings (NAS: GLOO),18-Nov-2025,IPO,"""Boulder, CO"""
Gold Flora (PINX: GRAM),09-Jul-2023,Reverse Merger,"""Costa Mesa, CA"""
Gorilla Technology Group (NAS: GRRR),14-Jul-2022,Reverse Merger,"""London, United Kingdom"""
GRAIL (NAS: GRAL),18-Aug-2021,Merger/Acquisition,"""Menlo Park, CA"""
Grove Collaborative (NYS: GROV),17-Jun-2022,Reverse Merger,"""San Francisco, CA"""
Grupa Pracuj (WAR: GPP),09-Dec-2021,IPO,"""Warsaw, Poland"""
Guerrilla RF (PINX: GUER),27-Oct-2021,Reverse Merger,"""Greensboro, NC"""
Hannun (MAD: HAN),29-Jun-2022,IPO,"""Barcelona, Spain"""
HCW Biologics (NAS: HCWB),20-Jul-2021,IPO,"""Miramar, FL"""
HDF Energy (PAR: HDF),24-Jun-2021,IPO,"""Blanquefort, France"""
HeartBeam (NAS: BEAT),11-Nov-2021,IPO,"""Santa Clara, CA"""
HeartFlow (NAS: HTFL),08-Aug-2025,IPO,"""Mountain View, CA"""
HeartSciences (NAS: HSCS),15-Jun-2022,IPO,"""Southlake, TX"""
Helyx Industries (MIL: HLX),06-Aug-2021,IPO,"""Udine, Italy"""
Hempalta (TSX: HEMP),19-Mar-2024,Reverse Merger,"""Calgary, Canada"""
Hertz Energy (CNQ: HZ),10-Apr-2023,IPO,"""Vancouver, Canada"""
Hexicon (STO: HEXI),22-Jun-2021,IPO,"""Stockholm, Sweden"""
High Roller Technologies (ASE: ROLR),23-Oct-2024,IPO,"""Las Vegas, NV"""
Hinge Health (NYS: HNGE),22-May-2025,IPO,"""San Francisco, CA"""
