company,latest_exit_date,deal_type,hq_location
Akili Interactive,02-Jul-2024,Merger/Acquisition,"""Boston, MA"""
Akkodis,24-Feb-2022,Merger/Acquisition,"""Zug, Switzerland"""
Akouos,01-Dec-2022,Merger/Acquisition,"""Boston, MA"""
Akoya Biosciences,16-Apr-2021,IPO,"""Marlborough, MA"""
ALAViDA,14-Oct-2021,Merger/Acquisition,"""Vancouver, Canada"""
Alchemy (Financial Software),08-Jun-2022,Merger/Acquisition,"""Irvine, CA"""
Alcyone Therapeutics,07-Nov-2025,Merger/Acquisition,"""Lowell, MA"""
Alderys,28-Feb-2024,Merger/Acquisition,"""Orsay, France"""
Alfi (Business/Productivity Software),04-May-2021,IPO,"""Miami Beach, FL"""
AlgaeneX,04-Aug-2021,Merger/Acquisition,"""San Diego, CA"""
Aliada Therapeutics,11-Dec-2024,Merger/Acquisition,"""Boston, MA"""
Alice's Table,31-Dec-2021,Merger/Acquisition,"""Jericho, NY"""
Alimera Sciences,16-Sep-2024,Merger/Acquisition,"""Alpharetta, GA"""
All In,10-Nov-2022,Merger/Acquisition,"""Los Angeles, CA"""
Allakos,15-May-2025,Merger/Acquisition,"""San Carlos, CA"""
Allcyte,18-Aug-2021,Merger/Acquisition,"""Vienna, Austria"""
Allegro 3D,05-May-2022,Merger/Acquisition,"""San Diego, CA"""
AlloMEK Therapeutics,11-Oct-2022,Merger/Acquisition,"""Woodbridge, CT"""
Allovue,22-Jan-2024,Merger/Acquisition,"""Baltimore, MD"""
Alpha Capital Acquisition Company,19-Feb-2021,IPO,"""New York, NY"""
Alpha Lithium,01-Nov-2023,Merger/Acquisition,"""Vancouver, Canada"""
Alpha Modus Holdings (NAS: DUMY0000230),13-Dec-2024,Reverse Merger,"""Cornelius, NC"""
Alpine Optoelectronics,29-Apr-2022,Merger/Acquisition,"""Fremont, CA"""
Alsid,27-Apr-2021,Merger/Acquisition,"""Paris, France"""
ALSP Orchid Acquisition I,19-Nov-2021,IPO,"""Seattle, WA"""
Alt 5,15-May-2024,Merger/Acquisition,"""Toronto, Canada"""
Altar,03-Oct-2022,Merger/Acquisition,"""Evry, France"""
Alter (Multimedia and Design Software),01-Aug-2022,Merger/Acquisition,"""New York, NY"""
AlterG,11-Aug-2023,Merger/Acquisition,"""Fremont, CA"""
AltheaDx,26-Apr-2022,Merger/Acquisition,"""San Diego, CA"""
Altiostar,04-Aug-2021,Merger/Acquisition,"""Tewksbury, MA"""
Altus Copper,12-Jan-2022,IPO,"""New York, NY"""
Amalto,06-Apr-2021,Merger/Acquisition,"""Houston, TX"""
Ambia Solar,14-Nov-2025,Merger/Acquisition,"""Lindon, UT"""
American Backhoe Services & Excavating,20-Dec-2022,Merger/Acquisition,"""University Park, IL"""
American Robotics,05-Aug-2021,Merger/Acquisition,"""Sparks, MD"""
Amino,21-Apr-2021,Merger/Acquisition,"""New York, NY"""
Amniotics,06-Jul-2021,IPO,"""Lund, Sweden"""
Amobee,12-Sep-2022,Merger/Acquisition,"""Redwood City, CA"""
Ampere Computing,26-Nov-2025,Merger/Acquisition,"""Santa Clara, CA"""
Amryt Endo,05-Aug-2021,Merger/Acquisition,"""Needham, MA"""
Anchor Semiconductor,01-Jul-2021,Merger/Acquisition,"""Santa Clara, CA"""
Angstrom Sports,17-Jun-2023,Merger/Acquisition,"""London, United Kingdom"""
AnHeart Therapeutics,09-Apr-2024,Merger/Acquisition,"""New York, NY"""
Ante,04-Oct-2021,Merger/Acquisition,"""Copenhagen, Denmark"""
Antev,29-Aug-2025,Merger/Acquisition,"""London, United Kingdom"""
AntlerA,26-Jul-2024,Merger/Acquisition,"""Toronto, Canada"""
Aparito,24-May-2024,Merger/Acquisition,"""Wrexham, United Kingdom"""
ApcinteX,01-Jan-2021,Merger/Acquisition,"""London, United Kingdom"""
APEIRON Biologics,15-Jul-2024,Merger/Acquisition,"""Vienna, Austria"""
Apexigen,23-Aug-2023,Merger/Acquisition,"""San Carlos, CA"""
APIOS,05-Jan-2021,Merger/Acquisition,"""Zagreb, Croatia"""
Apolicy,01-Jul-2021,Merger/Acquisition,"""Sunnyvale, CA"""
Apollo Endosurgery,04-Apr-2023,Merger/Acquisition,"""Austin, TX"""
Apollo Fusion,01-Jul-2021,Merger/Acquisition,"""Mountain View, CA"""
apoplex medical technologies,05-Nov-2024,Merger/Acquisition,"""Pirmasens, Germany"""
Apostrophe,02-Jul-2021,Merger/Acquisition,"""Oakland, CA"""
ApParkingSpot,06-May-2022,Merger/Acquisition,"""Stockholm, Sweden"""
Appetize,16-Sep-2021,Merger/Acquisition,"""Los Angeles, CA"""
AppHarvest,29-Jan-2021,Reverse Merger,"""Morehead, KY"""
Applica,23-Sep-2022,Merger/Acquisition,"""Warsaw, Poland"""
Applied BioMath,12-Dec-2023,Merger/Acquisition,"""Concord, MA"""
Applied Graphene,28-Mar-2023,Merger/Acquisition,"""Redcar, United Kingdom"""
Applied Molecular Transport,27-Dec-2023,Merger/Acquisition,"""Menlo Park, CA"""
Apton Biosystems,02-Aug-2023,Merger/Acquisition,"""Pleasanton, CA"""
Aquana,02-Jul-2021,Merger/Acquisition,"""Houston, TX"""
Aquaporin,01-Jul-2021,IPO,"""Kongens Lyngby, Denmark"""
Aran Biomedical,06-Apr-2022,Merger/Acquisition,"""Galway, Ireland"""
Araris,31-Mar-2025,Merger/Acquisition,"""Zurich, Switzerland"""
Arcadia Gaming,11-Sep-2024,Merger/Acquisition,"""Nicosia, Cyprus"""
Arcan,20-Dec-2023,Merger/Acquisition,"""Milan, Italy"""
ArcaNatura,19-Dec-2022,Merger/Acquisition,"""Lyon, France"""
Archaea Energy,28-Dec-2022,Merger/Acquisition,"""Houston, TX"""
ArcherDX,20-Dec-2022,Merger/Acquisition,"""Boulder, CO"""
Arcion,03-Nov-2023,Merger/Acquisition,"""San Mateo, CA"""
arculus (Hardware),28-Oct-2021,Merger/Acquisition,"""Munich, Germany"""
Ardgowan,14-Jun-2021,Merger/Acquisition,"""Inverkip, United Kingdom"""
Area 1 Security,01-Apr-2022,Merger/Acquisition,"""San Mateo, CA"""
Arena Solutions,15-Jan-2021,Merger/Acquisition,"""Boston, MA"""
Aretto Wellness (BER: 0RW0),09-Mar-2021,IPO,"""Vancouver, Canada"""
Argeo,26-Apr-2021,IPO,"""Hvalstad, Norway"""
ARInspect,31-Oct-2023,Merger/Acquisition,"""McLean, VA"""
Arix Bioscience,22-Jan-2024,Merger/Acquisition,"""London, United Kingdom"""
Armory (Business/Productivity Software),11-Jan-2024,Merger/Acquisition,"""San Francisco, CA"""
Arrival UK,24-Mar-2021,Reverse Merger,"""London, United Kingdom"""
Arroweye,06-May-2025,Merger/Acquisition,"""Henderson, NV"""
ARTELLA Solutions,30-Sep-2021,Merger/Acquisition,"""Houston, TX"""
ARTMS,11-Apr-2024,Merger/Acquisition,"""Burnaby, Canada"""
Arvelle Therapeutics,02-Feb-2021,Merger/Acquisition,"""Zug, Switzerland"""
Arx (Business/Productivity Software),09-Sep-2021,Merger/Acquisition,"""Auburn Hills, MI"""
Aryeo,31-Jul-2023,Merger/Acquisition,"""Boston, MA"""
Asanalyzer,13-Apr-2022,Merger/Acquisition,"""Peterborough, United Kingdom"""
Ask Sage,31-Dec-2025,Merger/Acquisition,"""Arlington, VA"""
ASMPT NEXX,01-Feb-2025,Merger/Acquisition,"""Billerica, MA"""
Asset Entities,02-Feb-2023,IPO,"""Dallas, TX"""
Asteo Red Neutra,01-Jul-2021,Buyout/LBO,"""Madrid, Spain"""
Astra Space,30-Jun-2021,Reverse Merger,"""Alameda, CA"""
Astria Therapeutics,23-Jan-2026,Merger/Acquisition,"""Boston, MA"""
Astrocast,25-Aug-2021,IPO,Switzerland
Astronaut Party,25-May-2021,Merger/Acquisition,"""San Francisco, CA"""
Asuragen,06-Apr-2021,Merger/Acquisition,"""Austin, TX"""
Asystem,25-Aug-2023,Merger/Acquisition,"""Los Angeles, CA"""
At Mine Hospitality,03-Jun-2021,Merger/Acquisition,"""Miami Beach, FL"""
Atenoil,31-May-2024,Merger/Acquisition,"""Madrid, Spain"""
Athelas (Enterprise Systems),30-Oct-2023,Merger/Acquisition,"""Mountain View, CA"""
Athonet,23-Feb-2023,Merger/Acquisition,"""Bolzano Vicentino, Italy"""
