company,latest_exit_date,deal_type,hq_location,normalized_company,founding_date,date_basis,source,confidence,score,status,wikidata_id,wikidata_label,notes
Lovely Candy Company,21-Feb-2022,Merger/Acquisition,"""Lake in the Hills, IL""",lovely candy,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lovenature Superfoods,06-Feb-2024,Buyout/LBO,"""The Hague, Netherlands""",lovenature superfoods,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lowell Farms (CNQ: LOWL),05-Mar-2021,Reverse Merger,"""Salinas, CA""",lowell farms,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lowell Therapeutics,10-Jan-2022,Merger/Acquisition,"""Lowell, MA""",lowell therapeutics,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Loxysoft,01-Jan-2021,Merger/Acquisition,"""Ostersund, Sweden""",loxysoft,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lua (Business/Productivity Software),23-Mar-2021,Merger/Acquisition,"""Copenhagen, Denmark""",lua (business/productivity software),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lucid (Media and Information Services (B2B)),29-Dec-2021,Merger/Acquisition,"""New Orleans, LA""",lucid (media and information services (b2b)),,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lucira Health,05-Feb-2021,IPO,"""Emeryville, CA""",lucira health,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lucky Kat,03-Jan-2022,Merger/Acquisition,"""Hague, Netherlands""",lucky kat,2015-00-00,operating_founding,Wikidata,MEDIUM,65,REVIEW,Q124463686,Lucky Kat Studios,hq=netherlands; aliases=Lucky Kat; desc=video game developer
Lucy Scientific Discovery,09-Feb-2023,IPO,"""Victoria, Canada""",lucy scientific discovery,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lumed,08-Jan-2024,Merger/Acquisition,"""Sherbrooke, Canada""",lumed,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
LumenRadio (STO: LUMEN),08-Dec-2022,IPO,"""Gothenburg, Sweden""",lumenradio,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 404: Not Found
Lumeon,02-Aug-2024,Merger/Acquisition,"""Boston, MA""",lumeon,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lumina Instruments,31-Oct-2024,Merger/Acquisition,"""San Jose, CA""",lumina instruments,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lunaphore,07-Jul-2023,Merger/Acquisition,"""Tolochenaz, Switzerland""",lunaphore,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lunching,29-Apr-2022,Merger/Acquisition,"""Krakow, Poland""",lunching,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
LungLife AI,08-Jul-2021,IPO,"""Thousand Oaks, CA""",lunglife ai,,,Wikidata,ERROR,0,ERROR,,,HTTP Error 429: Too Many Requests
Lusoco,15-May-2023,Merger/Acquisition,"""Eindhoven, Netherlands""",lusoco,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
Lyckeg�rd (STO: LYGRD),21-Feb-2022,IPO,"""V�ster�s, Sweden""",lyckeg�rd,,,Wikidata,NONE,0,NO_MATCH,,,No Wikidata search results
