order	company	size	category	hq	keywords	acquirer
445	Jampp	41.09	Enterprise Software	San Francisco, CA	crm, customer relationship management, machine learning, marketing platform, programmatic 	Affle 3i (BOM: 542752)(Anuj Sohum)
446	Troops	25.0	Enterprise Software	New York, NY	customer relationship management, enterprise software, productivity improvement, revenue o	Salesforce (NYS: CRM)
447	Viaduct	104.0	Enterprise Software	Menlo Park, CA	ai cores, analytics platform, artificial intelligence software, automotive platform, fleet	Ora Global, Sumitomo Rubber Industries (TKS: 5110)(Satoru Ya
448	Integrity Orthopaedics	225.0	Healthcare	Maple Plain, MN	muscle healing, recovery device, rotator cuffs, rotator cuffs repair, tendons repair, tend	Smith & Nephew (LON: SN.)(Christie Van Geffen)
449	Adhezion Biomedical	80.8	Healthcare	Wyomissing, PA	medical adhesive product, medical device, medical device agency, surgical adhesives, surgi	H.B. Fuller (NYS: FUL)
450	OneSpace	44.07	Enterprise Software	Swansea, IL	brand management, brand marketing, content optimization, digital shelves, digital shelves 	Ascential (Media and Information Services)(Duncan Painter)
451	Paperspace	100.4	Devtools/DevOps	Brooklyn, NY	ai automation platform, ai neocloud, analytics platform, cloud computing, data science pla	DigitalOcean (NYS: DOCN)(Yancey Spruill)
452	Celfinet	43.14	Devtools/DevOps	Lisbon, Portugal	engineering software solutions, engineering solution provider, mobile network service, mob	Cyient (NSE: CYIENT)(Krishna Bodanapu)
453	Hera Systems	21.9	Enterprise Software	San Jose, CA	aerial surveillance, earthing imaging, earthing observation, geospatial imaging, satellite	Redwire (Jacksonville) (NYS: RDW)
454	atSpoke	79.3	Enterprise Software	San Francisco, CA	ai automation platform, enterprise asset management, enterprise resource planning, erp, re	Okta (NAS: OKTA)
455	Eco-Adapt	24.63	Devtools/DevOps	Paris, France	energy maintenance, energy measuring equipment, energy meter, energy monitoring, predictiv	Schaeffler (FRA: SHA0)(Rauli Hantikainen)
456	Carevive	32.14	Healthcare	South Jordan, UT	abi custom application, analytics & business intelligence, analytics and business intellig	Health Catalyst (NAS: HCAT)(Daniel Burton)
457	Squadle	20.0	Enterprise Software	Cambridge, MA	digital operation service, digital operations management, enterprise resource planning, er	
458	K2 Cyber Security	20.63	Devtools/DevOps	San Jose, CA	data center security, enterprise security software, security platform, security platform d	New Relic
459	Aiqudo	57.7	Enterprise Software	Campbell, CA	crm, custom voice assistant, customer relationship management, natural language technology	Peloton (NAS: PTON)(John Foley)
460	ID Quantique	118.92	Devtools/DevOps	Geneva, Switzerland	digital asset protection, iot security, iot software, network encryption, photon counting,	IonQ (NYS: IONQ)(Jordan Shapiro)
461	Airgap	124.44	Devtools/DevOps	Santa Clara, CA	cloud security platform, it security platform, it security services, ransomware detection 	Zscaler (NAS: ZS)(Naresh Kumar)
462	Populi (Business/Productivity Software)	54.1	Enterprise Software	Avon, CT	analytics platform, business intelligence platform, health care data, network management, 	Definitive Healthcare (NAS: DH)(Robert Musslewhite)
463	Node	13.0	Enterprise Software	Markham, Canada	creator network, influencer campaign, influencer network, influencer platform, lifestyle c	Dulcedo
464	AlterG	22.1	Healthcare	Fremont, CA	anti-gravity treadmill, athletic conditioning, medical equipment product, mobility enhance	Lifeward(Lawrence Jasinski)
465	Gauss	160.0	Healthcare	Menlo Park, CA	fluid management, health care tech, hemorrhage detection, maternal safety, medical company	Stryker (NYS: SYK)(Dylan Crotty)
466	Phone.com (Communication Software)	23.2	Enterprise Software	Newark, NJ	business collaboration, call handling services, cloud communication, communication service	Ooma (NYS: OOMA)(Eric Stang)
467	Sentieo	185.0	Enterprise Software	San Francisco, CA	capital market, data & analytics, data and analytics, equity research analysis, financial 	AlphaSense(Jaakko Kokko)
468	SCRIPTS	20.0	Enterprise Software	Seattle, WA	company events analysis, content services, corporate events coverage, data distribution ne	Japan Exchange Group (TKS: 8697)
469	Noetic	51.1	Devtools/DevOps	Waltham, MA	assets inventory, cyber asset management, cyber risk, cybersecurity firm, security operati	Rapid7 (NAS: RPD)(Corey Thomas)
470	Sqreen	260.0	Devtools/DevOps	Paris, France	app security solutions, application security, application security software, internet secu	Datadog (NAS: DDOG)(Olivier Pomel)
471	Frame Studios	88.67	Enterprise Software	New York, NY	audience communication, creative media, media engagement, media production, visual brandin	APX Corporation(Richard Korhammer)
472	HubTran	97.0	Enterprise Software	Chicago, IL	enterprise resource planning, erp, logistic finance, logistics management software, logist	Triumph Financial Services
473	Ziva Dynamics	127.65	Enterprise Software	Vancouver, Canada	3d graphics software, biophysical simulation platform, character animation, character deve	Unity Software (NYS: U)(Natasha Tatarchuk)
474	Paragon Data Labs	13.69	Enterprise Software	Jersey City, NJ	compliance administration, compliance administration services, compliance monitoring softw	Intapp (NAS: INTA)(Nigel Riley)
475	Corvium	24.07	Enterprise Software	Reston, VA	conformance testing, data analysis, data collection, data management solutions, environmen	Neogen (Lansing) (NAS: NEOG)
476	ZyM_t Fertility	34.0	Healthcare	Gaithersburg, MD	infertility treatment, infertility treatment medicine, reproductive technology, sperm anal	CooperSurgical(Holly Sheffield)
477	Agara	40.0	Enterprise Software	Walnut, CA	artificial intelligence, automated customer response, crm, customer relationship managemen	Coinbase Global (NAS: COIN)(Manish Gupta)
