company,latest_exit_date,deal_type,hq_location,founding_date,source,confidence,notes
Alfonsino (MIL: ALFO),22-Nov-2021,IPO,"""Caserta, Italy""",,,,
AlgaeneX,04-Aug-2021,Merger/Acquisition,"""San Diego, CA""",,,,
Aliada Therapeutics,11-Dec-2024,Merger/Acquisition,"""Boston, MA""",,,,
Alice's Table,31-Dec-2021,Merger/Acquisition,"""Jericho, NY""",,,,
Alimera Sciences,16-Sep-2024,Merger/Acquisition,"""Alpharetta, GA""",,,,
Alkami (NAS: ALKT),13-Apr-2021,IPO,"""Plano, TX""",,,,
All In,10-Nov-2022,Merger/Acquisition,"""Los Angeles, CA""",,,,
Allakos,15-May-2025,Merger/Acquisition,"""San Carlos, CA""",,,,
Allcyte,18-Aug-2021,Merger/Acquisition,"""Vienna, Austria""",,,,
Allegro 3D,05-May-2022,Merger/Acquisition,"""San Diego, CA""",,,,
AlloMEK Therapeutics,11-Oct-2022,Merger/Acquisition,"""Woodbridge, CT""",,,,
Allovue,22-Jan-2024,Merger/Acquisition,"""Baltimore, MD""",,,,
Allurion Technologies (NYS: ALUR),01-Aug-2023,Reverse Merger,"""Paris, France""",,,,
Alpha Capital Acquisition Company,19-Feb-2021,IPO,"""New York, NY""",,,,
Alpha Lithium,01-Nov-2023,Merger/Acquisition,"""Vancouver, Canada""",,,,
Alpha Modus Holdings (NAS: DUMY0000230),13-Dec-2024,Reverse Merger,"""Cornelius, NC""",,,,
Alpine Optoelectronics,29-Apr-2022,Merger/Acquisition,"""Fremont, CA""",,,,
Alsid,27-Apr-2021,Merger/Acquisition,"""Paris, France""",,,,
ALSP Orchid Acquisition I,19-Nov-2021,IPO,"""Seattle, WA""",,,,
Alt 5,15-May-2024,Merger/Acquisition,"""Toronto, Canada""",,,,
Altar,03-Oct-2022,Merger/Acquisition,"""Evry, France""",,,,
Alter (Multimedia and Design Software),01-Aug-2022,Merger/Acquisition,"""New York, NY""",,,,
